순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
67,韓国旅行,韓国ってこんなに楽しい🇰🇷１泊２日で初めてのソウルを遊び尽くす,Maibaru Travel,2024-06-29,1765237,45349,4999,14.383796083451507
68,ソウル観光,【海外女ひとり旅】語学力ゼロで突撃！1人で韓国グルメと観光を大満喫してきた。【ソウル】,Sunchannel,2023-12-30,1749625,23110,1081,14.37491260877383
69,韓国女子旅,【海外女ひとり旅】語学力ゼロで突撃！1人で韓国グルメと観光を大満喫してきた。【ソウル】,Sunchannel,2023-12-30,1749625,23110,1081,14.37491260877383
70,韓国グルメ,【韓国】明洞で美人マネージャーと買い物したり美味しい物を食べました,ダイアン津田のゴイゴイスーチャンネル,2025-02-22,1716713,12971,588,14.35592255640722
71,韓国旅行,【韓国】明洞で美人マネージャーと買い物したり美味しい物を食べました,ダイアン津田のゴイゴイスーチャンネル,2025-02-22,1716713,12971,588,14.35592255640722
72,ソウル観光,【韓国】明洞で美人マネージャーと買い物したり美味しい物を食べました,ダイアン津田のゴイゴイスーチャンネル,2025-02-22,1716713,12971,588,14.35592255640722
73,韓国コスメ,韓国コスメに衝撃を受けた外国人,ショートスマイル,2025-12-31,1704692,41912,210,14.348895593836223
74,韓国女子旅,マジで明日も韓国行きたい！！！！,さしはらちゃんねる,2023-07-21,1682451,17806,912,14.335762811119322
75,韓国ファッション,韓国女子は今何着てる？おしゃれな人の服の組み合わせ #shorts #韓国ファッション,韓国ファッションマガジンLapiLapi,2023-05-09,1650039,19031,62,14.316310088007162
76,韓国旅行,韓国でシール爆買いここに行け !,URITRIP,2025-12-10,1621909,12013,100,14.29911502506501
77,韓国コスメ,【没収!?】韓国旅行持ち帰りNGお土産 #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-09-07,1618908,20185,181,14.297263023544554
78,ソウル観光,【没収!?】韓国旅行持ち帰りNGお土産 #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-09-07,1618908,20185,181,14.297263023544554
79,韓国女子旅,【没収!?】韓国旅行持ち帰りNGお土産 #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-09-07,1618908,20185,181,14.297263023544554
80,韓国旅行,【没収!?】韓国旅行持ち帰りNGお土産 #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-09-07,1618908,20185,181,14.297263023544554
81,ソウル観光,Snow Man【ソウルを満喫~後編】全てがサイコーでした！,Snow Man,2025-09-03,1604953,51365,1613,14.288605653699397
82,韓国旅行,韓国旅行の帰りに空港でチェックインしようとしたら満席だった話 #韓国旅行 #韓国 #shorts,きむあずまの韓国チャンネル,2023-10-30,1589614,7657,277,14.279002406511408
83,韓国旅行,【韓国旅行】べろべろの状態から動画をはじめてみた in 韓国,うじとうえだ,2024-10-25,1580165,13490,761,14.273040462775528
84,韓国コスメ,プチプラでも最強！ウォンヒ愛用ハイライト#kpop #illit #ウォンヒ #コスメ,Kアイドルランド,2025-09-20,1569137,32101,49,14.266036981958333
85,韓国コスメ,ニキビ肌でも韓国アイドルの美肌は手に入れられます🤫🩵#メイク #ベースメイク #메이크업,葉月ひまり,2025-04-11,1555791,37118,132,14.257495298692485
86,韓国コスメ,これ韓国にはない？韓国人が本気でハマった日本の神コスメ💖,好奇心隊長もんちゃん,2025-03-13,1553516,44709,154,14.256031950787229
87,韓国女子旅,【Vlog】念願の韓国旅行🇰🇷✈️旅行中の胃袋は無限大🥟🍟💦大充実した２泊３日！オススメスポット、グルメ、買い物、食べ歩き🍻💕,Amaneあまね,2023-04-07,1552594,24107,1140,14.255438282544048
88,韓国旅行,【Vlog】念願の韓国旅行🇰🇷✈️旅行中の胃袋は無限大🥟🍟💦大充実した２泊３日！オススメスポット、グルメ、買い物、食べ歩き🍻💕,Amaneあまね,2023-04-07,1552594,24107,1140,14.255438282544048
89,韓国旅行,韓国のコンバースを持ち帰る方法 #韓国 #韓国コンバース #shorts,きむあずまの韓国チャンネル,2023-05-23,1546488,16484,275,14.251497758246531
