순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
162,韓国コスメ,ロムアンドの水色パケ！？🩵🪽#ロムアンド #韓国コスメ #コスメ購入品 #コスメオタク #開封動画 #パケ買い #水色オタク #コスメ紹介,ゆっちゃん　　,2025-06-09,884548,20322,68,13.692833189577778
163,韓国旅行,2年ぶり韓国旅行でトラブル起きまくりｽﾍﾟｼｬﾙ🇰🇷,ヘラヘラ三銃士,2025-08-17,874974,7725,351,13.681950593503009
164,韓国旅行,【知らないと後悔！】韓国旅行の必須アイテムリスト #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-08-15,872473,14374,29,13.679088133187774
165,ソウル観光,【知らないと後悔！】韓国旅行の必須アイテムリスト #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行,【韓国情報】どんどんコリア,2023-08-15,872473,14374,29,13.679088133187774
166,韓国旅行,韓国旅行で感じるギャップ5選 #韓国旅行 #韓国 #shorts,きむあずまの韓国チャンネル,2023-07-15,867679,5272,282,13.673578262074887
167,ソウル観光,韓国旅行で感じるギャップ5選 #韓国旅行 #韓国 #shorts,きむあずまの韓国チャンネル,2023-07-15,867679,5272,282,13.673578262074887
168,韓国女子旅,韓国旅行でここだけは危険⚠️行っちゃダメ🙅‍♀️❌ #韓国 #韓国旅行 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-08-08,864668,10870,62,13.670102053721857
169,韓国旅行,韓国旅行でここだけは危険⚠️行っちゃダメ🙅‍♀️❌ #韓国 #韓国旅行 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-08-08,864668,10870,62,13.670102053721857
170,ソウル観光,韓国旅行でここだけは危険⚠️行っちゃダメ🙅‍♀️❌ #韓国 #韓国旅行 #渡韓 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-08-08,864668,10870,62,13.670102053721857
171,韓国女子旅,【韓国vlog】3泊4日の女子旅✈️🇰🇷ひたすら爆買いして遊びまくった。with みゆちゃん,nagomi,2023-08-26,852908,9126,239,13.656408138485082
172,韓国旅行,【韓国旅行で何品食べれる？🇰🇷】,あやんぬ🍔🍊,2025-12-27,832147,13213,111,13.631765588599139
173,韓国コスメ,【名品祭り】小田切ヒロの2025年ベスコス！プチプラ・ドラコス・韓国コスメの下半期ベストを本気で厳選したわよ〜🤍,HIRO BEAUTY CHANNEL,2025-11-29,823205,11581,158,13.620961752105153
174,韓国旅行,マイルズと初めての韓国旅行,kemio,2025-08-16,822448,10509,263,13.62004175362018
175,韓国コスメ,韓国コスメ買ったからメイク動画を久々にやりましたがまじでニキビ消えて食いまくってもOKだよね？ってことがわかりました,仲里依紗です。,2022-08-03,816521,13946,468,13.612809135304008
176,韓国旅行,韓国で”とんでもない異変”が起きています。,トッポギ侍【おがみょんがんちゃん】,2025-10-04,801584,9291,1519,13.594346296562804
177,韓国コスメ,韓国メイクやるしかねえっしょ！#メンズメイク #美男子ヤノ,美男子ヤノ,2024-02-10,798183,14238,47,13.590094426294387
178,韓国ファッション,【ひとり韓国旅行✈️】韓国へ夏服買いに行ってきました🇰🇷,エミリンチャンネル,2025-07-31,784312,7601,43,13.572563454353457
179,韓国旅行,【ひとり韓国旅行✈️】韓国へ夏服買いに行ってきました🇰🇷,エミリンチャンネル,2025-07-31,784312,7601,43,13.572563454353457
180,韓国旅行,釜山旅🇰🇷韓国第二の都市プサンで海鮮グルメ呑み歩き。【アジア#55】2024年11月12日〜16日,しげ旅,2025-03-01,782263,7317,402,13.569947558462701
181,韓国コスメ,おすすめチーク3選❤️#チーク#ピンクコスメ#コスメオタク#コスメ好き#プチプラコスメ#韓国コスメ,ミレの日常🎀,2025-04-05,763948,15531,25,13.546256311993814
182,韓国旅行,【旅行Vlog】親友と行く2泊３日の初韓国旅行が楽しすぎた‼️🇰🇷,むくえなちっく。,2024-02-28,759122,9775,186,13.539919098584187
183,韓国コスメ,案件無し！Qoo10メガ割で狙うならこの韓国リップが神 #コスメ #美容 #韓国コスメ #購入品紹介 #メイク,韓国オンニ【日韓コスメ・スキンケア】,2025-02-28,744112,14949,29,13.519948184002798
184,韓国女子旅,[ Korea Trip ] 2泊3日で行く韓国女子旅🇰🇷 グルメ、買い物、美容…全部欲張って大満喫するソウル🛍️,miku / 未来,2024-03-29,744046,7054,236,13.51985948386297
185,韓国旅行,【韓国釜山２人旅①激ウマ鍋】次くるグルメ「ナッコプセ」に感動！,さまぁ〜ずチャンネル,2025-10-24,739100,7352,331,13.51318986176895
186,韓国コスメ,みな実さん愛用ファンデーション♡ #田中みな実 #エイミー #ファンデーション #韓国コスメ,♡美容インフォ♡,2025-11-21,723729,1950,11,13.492173673636053
187,韓国旅行,韓国で最大のゴーストタウンに行き衝撃を受けました。,トッポギ侍【おがみょんがんちゃん】,2025-10-22,716762,7045,777,13.482500521007015
188,Kpop聖地巡り,#スポットバイトル CM #スポバダンス 公開中！みんなも踊ってみてね✨#スポバ#深澤辰哉 #佐久間大介 #向井康二,バイトル公式チャンネル,2025-04-18,713639,0,0,13.478133912488639
189,韓国コスメ,パーソナルカラー別に、おすすめピンクコスメ紹介＾＾🎀#ピンクコスメ#韓国コスメ #プチプラコスメ #コスメ好き#おすすめコスメ,ミレの日常🎀,2025-05-04,711348,18572,43,13.474918446300578
190,韓国コスメ,【ブルベvsイエベ】韓国コスメだけで似合うメイクを徹底比較！,コスメ雑学 コスメオタクと美容,2025-09-03,704372,9309,27,13.46506332437552
191,ソウル観光,韓国旅行🇰🇷ソウル観光のモデルコース｜絶品グルメ&amp;絶対行くべきスポット【完全保存版】,こやトラベル / Koya Travel,2023-09-16,690371,4208,229,13.444985861729625
192,韓国女子旅,★Vlog★聖水（ソンス）でコスメショップめぐり＆夜までお買い物♪,Kan & Aki's CHANNELかんあきチャンネル,2025-03-29,688812,7302,210,13.442725105320578
193,韓国コスメ,コスメオタクのウォンヒが選ぶ春の苺リップ🍓 #韓国コスメ #ツヤリップ #illit,カナ   KANA,2025-04-07,685022,10408,32,13.437207693323016
194,ソウル観光,夏の旅行に出発✈️初韓国にテンションあがる⤴️ソウルでのお家はどんな感じ❓,KahoSei Channel from Canada,2025-08-09,678296,8865,300,13.42734052410263
195,韓国旅行,夏の旅行に出発✈️初韓国にテンションあがる⤴️ソウルでのお家はどんな感じ❓,KahoSei Channel from Canada,2025-08-09,678296,8865,300,13.42734052410263
196,韓国コスメ,𓊆Qoo10発売中🗓𓊇dasique新作🌸桜コレクション買う前に知りたい本音レポ✍🏻〰︎︎ #韓国コスメ,りちゃ🎀🤍ブルベ夏のコスメレポ,2026-02-13,676925,14492,55,13.425317240159393
197,韓国コスメ,【大量購入品】韓国でも爆買いクイーン👸🤍 韓国コスメ・韓国美容・韓国ファッションを大量購入してきたわよ〜🤍,小田切ヒロの「そうよ〜」な日常,2024-11-25,669109,9249,268,13.413703750108336
198,韓国コスメ,aespaジゼル愛用⁉︎韓国コスメのちゅるちゅるリップが可愛すぎる #コスメ #美容 #メイク #垢抜け #韓国コスメ,韓国オンニ【日韓コスメ・スキンケア】,2025-09-15,668515,11789,25,13.41281560941872
199,韓国旅行,今、仁川空港が「危険な理由」話します。 #韓国 #韓国人 #韓国旅行 #shorts #short,きばるん 키바룬,2025-02-04,663673,16282,237,13.405546344040932
200,韓国コスメ,30分でオリーブヤング爆買いしたからダウンタイム中の韓国コスメメイク動画やったけどまじで参考にならなくて草すぎてれいちゃんまじでほぼ指で仕上げててかわw,仲里依紗です。,2025-05-24,661947,8298,121,13.402942281985002
201,韓国ファッション,【デニムコーデどっちが好き👀💕？？】男ウケ🚹？女ウケ🚺？#shorts #fashion #wego #ウィゴー #韓国ファッション #カジュアル #夏 #コーデ #着こなし #outfit,WEGOゆーちゅー部 -WEGO公式-,2024-06-04,657530,6809,34,13.396247190211584
202,韓国コスメ,目のタイプ別涙袋メイク✨🖇️ #パーソナルカラー診断 #ヘアメイクアップ #涙袋 #涙袋メイク #メイクサロン #メイクレッスン #韓国コスメ #韓国メイク #顔タイプ診断 #makeup #美容,make up by MAHO,2025-10-17,655768,22566,104,13.393563871766098
203,韓国コスメ,これだけは買ってください😇fweeコスメトップ3♡#fwee#コスメオタク#韓国コスメ#フィー#qoo10,ミレの日常🎀,2025-04-28,654658,12330,32,13.39186976836557
204,韓国コスメ,今買うなら絶対こっち！人気リップチーク徹底比較してみたらヤバかった #韓国コスメ #コスメ #美容 #メイク #購入品紹介,韓国オンニ【日韓コスメ・スキンケア】,2025-03-25,650838,9720,24,13.386017578776135
205,韓国ファッション,足を出したくない！韓国女子の夏コーデまとめ #shorts #夏コーデ,韓国ファッションマガジンLapiLapi,2023-06-25,650806,6627,16,13.3859684102618
206,韓国旅行,意外と知らない😱韓国スーパーのヤバすぎるルール💦 #韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #ソウル #ソウル旅行 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-08,650281,6176,41,13.385161393941635
207,ソウル観光,意外と知らない😱韓国スーパーのヤバすぎるルール💦 #韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #ソウル #ソウル旅行 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-08,650281,6176,41,13.385161393941635
208,韓国コスメ,ド派手メイクで水越みさとちゃんとドリンクを作りました,コスメヲタちゃんねるサラ,2026-03-12,649660,14455,347,13.384205967361792
209,韓国旅行,【全部食った】韓国の美味いもんを食べまくって昇天したソウル飯テロ旅【海外eSIM】,ぽんまつはうす,2025-07-16,645190,11999,1298,13.37730167597285
210,ソウル観光,【全部食った】韓国の美味いもんを食べまくって昇天したソウル飯テロ旅【海外eSIM】,ぽんまつはうす,2025-07-16,645190,11999,1298,13.37730167597285
211,韓国ドラマロケ地,【面白NG集】2024年韓国ドラマ面白ハプニングNG集 Kdrama behind the scenes funny moments,ヘンボッ韓,2024-12-10,644449,2263,8,13.376152518832926
212,韓国ファッション,沼確すぎるGU秋冬新作、、🤎🍁*.+ﾟさすがに神コスパです。#gu #guコーデ #gu購入品 #ジーユー #韓国ファッション #おすすめ #秋コーデ #プチプラ #コーデ紹介,ramu ,2025-10-17,642724,7969,16,13.37347222900024
213,韓国コスメ,【プチプラが優秀なのでデパコス捨てた】#コスメ #メイク #おすすめ #新作 #プチプラ #美容 #垢抜け #雑学 #豆知識 #社会人 #韓国コスメ #デパコス #問題,こんぷれちゃん,2025-04-29,637723,9057,80,13.365660866846861
214,ソウル観光,韓国旅行で美味しかったお店TOP5【超厳選】 #韓国 #韓国旅行 #shorts,きむあずまの韓国チャンネル,2023-12-30,636877,13630,36,13.364333393448522
215,韓国旅行,韓国旅行で美味しかったお店TOP5【超厳選】 #韓国 #韓国旅行 #shorts,きむあずまの韓国チャンネル,2023-12-30,636877,13630,36,13.364333393448522
216,ソウル観光,韓国旅行で美味しかったお店TOP5【超厳選】 #韓国 #韓国旅行 #shorts,きむあずまの韓国チャンネル,2023-12-30,636877,13630,36,13.364333393448522
217,韓国旅行,【弾丸で海外旅行】ひとりで韓国行って食べ放題して満腹で帰国した日,エミリンチャンネル,2025-10-24,633984,5682,265,13.359780573833483
218,韓国旅行,【韓国旅行⑤】韓国のお店の注文方法にビックリ！韓国と日本のホテルとの違い！韓国グルメ情報満載！,おぎやはぎトラベル,2024-04-26,633641,3837,157,13.359239405164196
219,韓国コスメ,みんなに聞かれる涙袋💝 #コスメ#プチプラコスメ #コスメ部 #コスメレポ #最新コスメ#優秀コスメ #コスメ情報 #韓国コスメ #コスメレビュー #新作コスメ#アイメイク#涙袋,ちぴこ👩‍💻社畜美容オタクOL,2025-02-18,630783,6969,10,13.354718769132973
220,韓国コスメ,もう...ほんとに好き😭😭😭 #コスメオタク #fwee #韓国コスメ,ミレの日常🎀,2025-10-04,616686,9510,31,13.332116880815775
221,韓国旅行,韓国旅行🇰🇷鉄道で巡る東海岸、途中下車の旅。こんな韓国知らなかった｜江原道・江陵,Maibaru Travel,2024-10-26,614220,19304,1704,13.32811007722169
222,韓国旅行,韓国旅行の買い物でクレジットカード払いする時の落とし穴💦知らないと大損するかもよ😱💸#韓国 #韓国情報 #韓国最新 #韓国最新情報 #韓国旅行 #韓国旅行情報 #韓国旅行情報最新 #short,ぼっちな韓国オタク🇰🇷みちゃん,2023-11-24,614019,9147,69,13.327782779888684
223,韓国女子旅,★Vlog★３姉妹、韓国でアイドルメイク体験とベーグルランチ♪,Kan & Aki's CHANNELかんあきチャンネル,2025-03-28,612346,6908,251,13.325054394278455
224,韓国コスメ,韓国コスメ大活躍🥺💕絶対盛りたい日にするピンクメイク💄#韓国 #コスメ,Amaneあまね,2024-07-25,610734,0,84,13.322418428851133
225,韓国旅行,これ✨千秋の韓国旅行✈️深夜の爆買い⭐️東大門の㊙️買い物極意を紹介します！圧巻の仕入れ風景！でもね、家にいながら東大門と同じ物が買えるって👚👗👖,千秋ちゃんねる,2023-03-31,608163,2622,45,13.318199861417968
226,韓国旅行,韓国の空港からスムーズに飛行機に乗る方法 #韓国旅行 #韓国 #shorts,きむあずまの韓国チャンネル,2023-07-05,607128,7324,61,13.316496568055413
227,ソウル観光,ソウル旅🇰🇷観光少し韓国グルメ17軒。【アジア#54】2024年11月5日〜12日,しげ旅,2025-02-26,606830,6251,338,13.316005612824622
228,韓国旅行,【韓国vlog】3人で行くソウル女子旅☆ ͛ 初日から爆買い、人気ベーグルに美容も行ってQOL急上昇😽↑↑,ぽんチャンネル,2025-06-05,600363,6622,960,13.30529141691712
229,ソウル観光,【韓国vlog】3人で行くソウル女子旅☆ ͛ 初日から爆買い、人気ベーグルに美容も行ってQOL急上昇😽↑↑,ぽんチャンネル,2025-06-05,600363,6622,960,13.30529141691712
230,韓国女子旅,【韓国vlog】3人で行くソウル女子旅☆ ͛ 初日から爆買い、人気ベーグルに美容も行ってQOL急上昇😽↑↑,ぽんチャンネル,2025-06-05,600363,6622,960,13.30529141691712
231,ソウル観光,韓国でバズってるあの行列のベーグル屋さん行った正直な感想【ソウル/安国 London bagelmuseum】,デパ地下のまおさん,2025-05-30,586395,4784,112,13.281750608248913
232,韓国女子旅,【1分解説】韓国旅行者は絶対作るべき「WOWPASS」作ってみる！実践編【ワオパス】,来栖あつこ / Atsuko Kurusu,2022-09-21,584173,21260,39,13.277954162638984
233,Kpop聖地巡り,【KPOPファン必見スポット!?】Stray Kidsのメンバーに遭遇した韓国人夫,ミョリムMyorimu,2022-05-14,583662,14640,306,13.277079040455646
234,韓国ファッション,【韓国ストリートコーデ３選🖤】メンズのラインスウェットだけど女の子にもおすすめ✨#shorts #fashion #wego #春 #スウェット #春コーデ #韓国コーデ #ウィゴー,WEGOゆーちゅー部 -WEGO公式-,2024-02-04,579361,10226,33,13.26968277707857
235,ソウル観光,"知らなきゃ損！【1,000円企画】カンジャンシジャン食べ歩き #shorts #韓国 #ソウル",ちょびっとカップル,2025-02-02,574386,12627,19,13.26105866414806
236,韓国旅行,【神デート】韓国3泊4日、遊びつくした激濃vlog！！おすすめスポット全紹介。,華金カップル,2025-05-20,572237,4737,544,13.257310267739111
237,ソウル観光,【神デート】韓国3泊4日、遊びつくした激濃vlog！！おすすめスポット全紹介。,華金カップル,2025-05-20,572237,4737,544,13.257310267739111
238,韓国コスメ,【Qoo10メガ割】これを買えば間違いなし！No案件🙅‍♂️ 小田切ヒロの激推し韓国コスメ&amp;スキンケア全部教えるわ🤍,HIRO BEAUTY CHANNEL,2025-08-31,571019,6894,108,13.255179514294444
239,韓国旅行,20回以上行ってる韓国のオススメ全部教えちゃう,中町綾チャンネル,2026-02-25,570632,6609,213,13.25450154994832
240,韓国ドラマロケ地,実は結婚している！意外と知られていない韓国俳優夫婦37組を一挙紹介,スージーch.,2025-09-25,567215,1202,15,13.248495462546906
241,韓国コスメ,【ベスコス】2025年上半期ベストコスメ- プチプラ・ドラコス・韓国コスメ編！小田切ヒロが選んだ本当におすすめできるベストアイテムを厳選して紹介しちゃうわよ〜🤍,HIRO BEAUTY CHANNEL,2025-06-28,561408,7264,137,13.238204974131614
242,韓国コスメ,ごりごりに盛れた＾＾🦍♡ #メイク動画 #コスメ #美容 #韓国コスメ,seoul×tokyo cosme,2024-02-15,561196,4660,102,13.237827281508343
243,韓国ファッション,韓国っぽ春コーデ6選🫶🌸 #shorts,HOLIDAY&HOLIDAY,2023-03-24,555850,9257,34,13.228255551706647
244,韓国コスメ,【ASMR】コスメタッピングとスクイーズの音が良すぎる,コスメヲタちゃんねるサラ,2026-02-25,554020,13532,118,13.224957871148186
245,韓国旅行,★Vlog★かんなさんと韓国で合流！女子組と男子組の韓国旅行３泊４日♪,Kan & Aki's CHANNELかんあきチャンネル,2025-10-25,551506,6381,157,13.220409810251535
246,韓国女子旅,★Vlog★かんなさんと韓国で合流！女子組と男子組の韓国旅行３泊４日♪,Kan & Aki's CHANNELかんあきチャンネル,2025-10-25,551506,6381,157,13.220409810251535
247,韓国旅行,明洞のココのお店 行かないで‼️  #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #韓国グルメ #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-01-12,549174,7595,117,13.216172431082386
248,ソウル観光,明洞のココのお店 行かないで‼️  #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #韓国グルメ #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-01-12,549174,7595,117,13.216172431082386
249,ソウル観光,明洞のココのお店 行かないで‼️  #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #韓国グルメ #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2025-01-12,549174,7595,117,13.216172431082386
250,韓国旅行,【韓国旅行🇰🇷】ひとりで韓国で食べ歩きしてショッピングして最高に楽しすぎた１日！！！！,エミリンチャンネル,2025-07-29,546914,5702,248,13.21204867627635
251,韓国女子旅,【韓国旅行🇰🇷】ひとりで韓国で食べ歩きしてショッピングして最高に楽しすぎた１日！！！！,エミリンチャンネル,2025-07-29,546914,5702,248,13.21204867627635
252,韓国旅行,【Vlog】2泊3日で韓国旅行に行ってきました🇰🇷【爆食旅】,みりにゃと申します。,2025-01-10,542181,7973,237,13.203357017413746
253,韓国女子旅,こじはる韓国🇰🇷❤️withさっしー【オリヤン購入品/最新グルメ】,HARUNA KOJIMA's cat nap,2025-06-06,540720,5388,159,13.20065871315853
254,韓国旅行,韓国旅行中で大喧嘩中にママにバレずに深夜コンビニ出かけたら・・・,おさき日記,2026-01-16,540220,7235,106,13.199733594075989
255,韓国旅行,渡韓中🇰🇷クレジットカード使わないで💳🙅‍♀️ #韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #ソウル #ソウル旅行 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-06,537882,4815,49,13.195396343374473
256,ソウル観光,渡韓中🇰🇷クレジットカード使わないで💳🙅‍♀️ #韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #ソウル #ソウル旅行 #渡韓情報 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-06,537882,4815,49,13.195396343374473
257,韓国旅行,今週末いきなり海外に行っちゃおう！弾丸韓国家族旅🇰🇷おみやげ視聴者プレゼント🎁himawari-CH,HIMAWARIちゃんねる,2024-09-28,537673,2552,228,13.195007707527873
258,ソウル観光,#ソウルグルメ #韓国旅行 #渡韓情報 #韓国グルメおすすめ #韓国ご飯 #オススメ  #韓国 #韓国情報 #明洞ご飯 #ランジュカルミョン #ヨンナムドン #ホンデご飯 #南山タワー #おすすめ,ただのオタク ミーナ🧸,2024-12-28,532852,10071,0,13.186000867735533
259,韓国旅行,【実写】AMPTAKで韓国旅行行ってきた!!【AMPTAKxCOLORS】【アンプタック】,AMPTAKxCOLORS(アンプタックカラーズ),2025-06-17,525838,19860,1532,13.172750361216496
260,韓国コスメ,【2025年下半期ベストコスメ】今期使ったコスメで特に良かったベスコスを厳選紹介🥇【プチプラ/デパコス/韓国コスメ全部混ぜ】,水越みさと,2025-12-10,521176,5548,123,13.163844994325887
261,ソウル観光,韓国ソウル男ひとり夜遊び旅3泊4日モデルコースVlog【食って遊ぶに全集中旅行】夜の歓楽街お散歩映像と韓国按摩体験レポ【明洞・弘大・梨泰院・東大門・南大門】,世界ビュルルン滞在記,2024-12-10,514372,1232,79,13.150703962192061
262,韓国旅行,韓国ソウル男ひとり夜遊び旅3泊4日モデルコースVlog【食って遊ぶに全集中旅行】夜の歓楽街お散歩映像と韓国按摩体験レポ【明洞・弘大・梨泰院・東大門・南大門】,世界ビュルルン滞在記,2024-12-10,514372,1232,79,13.150703962192061
263,ソウル観光,【韓国旅行情報】超初心者向け！ソウル旅行完全ガイド！自分たちが調べたこと全てまとめました【チャプター付き】,中島家チャンネル【夫婦】,2023-08-14,511831,7825,390,13.145751725176858
264,韓国コスメ,【最新】お気に入りリップ4選💄⟡.·  #PR #Qoo10 #Qoo10アンバサダー #韓国コスメ #リップ #shorts #コスメ #コスメ紹介,愛田まり,2024-12-27,510460,9765,7,13.14306951797806
265,ソウル観光,【総集編】広蔵市場の食べ歩き全部一気見！！観光地の中の観光地で市場グルメ！【ソウル】【モッパン】,KaoruTV,2024-08-29,508174,3995,125,13.138581155427163
266,Kpop聖地巡り,"【KPOP】韓国4大芸能事務所巡ってみた‼️(HYBE, SM, JYP, YG)",きばるん 키바룬,2022-07-16,503409,13486,397,13.129160226404602
267,韓国コスメ,ベストスキンケアというより、人生スキンケアかもってくらいリピしまくってた大好きなやつたち🥺❤️#スキンケア#韓国スキンケア#2025年ベストスキンケア,ミレの日常🎀,2026-01-09,498783,9270,40,13.119928415288777
268,韓国旅行,実は...買っちゃダメな韓国お土産がある🙅‍♀️ #韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-11,498475,4156,19,13.11931072279175
269,ソウル観光,韓国旅行で絶対に外せないお土産5選❣️ #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行 #韓国コンビニ #韓国グルメ,【韓国情報】どんどんコリア,2023-09-18,495402,6673,14,13.113126851731616
270,韓国旅行,韓国旅行で絶対に外せないお土産5選❣️ #渡韓 #ソウル旅行 #韓国ショッピング #韓国旅行 #韓国旅行vlog #ソウル #韓国コスメ #海外旅行 #韓国コンビニ #韓国グルメ,【韓国情報】どんどんコリア,2023-09-18,495402,6673,14,13.113126851731616
271,韓国ファッション,2℃でこれ着てたら怖がられた☺️ #韓国コーデ #韓国ストリート #韓国ファッション #モテコーデ #あざとコーデ #grl #グレイル #grl購入品 #ZARA #ザラ #セットアップ #村川緋杏,むらかわびびあん,2024-02-25,494803,5669,36,13.111917003542167
272,韓国女子旅,★Vlog★韓国女子旅さいごの日！韓国で買ったコスメとか紹介するよ♪,Kan & Aki's CHANNELかんあきチャンネル,2025-04-04,494641,5788,189,13.111589547568931
273,韓国コスメ,【ベスコス発表】2024年下半期ベストコスメ- プチプラ・ドラコス・韓国コスメ編！小田切ヒロが選んだデパコスに負けない優秀アイテム、たくさん紹介しちゃうわよ〜🤍,HIRO BEAUTY CHANNEL,2024-11-30,493344,7344,209,13.108964005441212
274,韓国ファッション,【emmy】結局フレアデニムが1番似合う骨格は何だろう？🩵骨格ストレート？？#shorts,emmy,2025-02-26,490592,2651,37,13.103370142461765
275,韓国旅行,【最高✨❤️】大好きな４人組でずーっと念願だった韓国旅行🤩🇰🇷❤️またまた絆深まっちゃったんじゃないのぉっ😘,MelTV,2023-12-31,488312,5050,71,13.098711872673045
276,韓国コスメ,【Qoo10メガ割】圧倒的オススメ‼︎厳しい目で韓国コスメの選別が始まるぞ‼︎,EGA.channel,2025-08-30,486148,6317,375,13.09427044025739
277,ソウル観光,実は...危険な韓国お土産がある⚠️😱 #韓国 #韓国旅行 #韓国旅行情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #short #shorts,ぼっちな韓国オタク🇰🇷みちゃん,2024-07-19,483649,4270,46,13.089116783610693
278,韓国旅行,【韓国旅行総額いくら？】親子旅２泊３日の韓国旅行。食にショッピングにソウルを堪能！気になる費用の総額もお伝えします！,カラフルハワイ,2024-03-31,480466,3133,170,13.082513826574074
279,ソウル観光,【韓国旅行総額いくら？】親子旅２泊３日の韓国旅行。食にショッピングにソウルを堪能！気になる費用の総額もお伝えします！,カラフルハワイ,2024-03-31,480466,3133,170,13.082513826574074
280,ソウル観光,【ぶらり旅】韓国で自由気ままに旅行してみた！,スーツ 旅行 / Suit Travel,2025-01-25,477844,6936,569,13.077041691105
281,韓国コスメ,韓国でオリヤン貸し切ってコスメ買い放題したらあまりにも楽しすぎた。。。！！！,エミリンチャンネル,2025-03-02,477021,5361,140,13.075317890400202
282,韓国旅行,韓国が最高です。マジで...最高です。,あさぎーにょ,2026-03-02,469457,9170,361,13.05933411675994
283,韓国コスメ,さすがとしか言えません🥺... #コスメオタク #fwee#韓国コスメ,ミレの日常🎀,2025-09-25,466301,12260,45,13.052588771871495
284,韓国コスメ,メガ割で買って損ないもの✌🏼✨ #メガ割 #メガ割購入品 #メガ割おすすめ #韓国コスメ #qoo10メガ割,ユウネ┊元芋女からの垢抜け発信 ˎˊ˗,2024-09-01,464285,13384,22,13.048256020635034
285,韓国コスメ,これ…あの韓国コスメじゃないよね❓激似すぎるDAISOコスメを徹底レビュー✅#daiso #ダイソー #Kyumme #キュンミー #プチプラ #100均,葉月ひまり,2025-06-23,463443,6015,23,13.046440836839766
286,韓国旅行,【爆食】１泊２日韓国弾丸ツアーが最高すぎました！！！,サバンナ高橋/しげおチャンネル,2025-10-03,458085,2961,95,13.034812218394958
287,ソウル観光,【爆食】１泊２日韓国弾丸ツアーが最高すぎました！！！,サバンナ高橋/しげおチャンネル,2025-10-03,458085,2961,95,13.034812218394958
288,ソウル観光,【爆食】１泊２日韓国弾丸ツアーが最高すぎました！！！,サバンナ高橋/しげおチャンネル,2025-10-03,458085,2961,95,13.034812218394958
289,韓国旅行,3泊4日韓国旅行！初日から事件の連続で忘れられない思い出になった,2nds-セカンズ-,2025-04-25,453062,3941,179,13.023786467643122
290,韓国旅行,【韓国】旅行密着,佐野勇斗だぞ,2025-09-20,450998,8331,749,13.019220401187457
291,韓国コスメ,#渡韓情報 #韓国情報 #韓国旅行 #韓国 #渡韓 #韓国グルメ #韓国料理 #韓国カフェ #お土産 #韓国土産 #パック #韓国コスメ #オリヤン #オリーブヤング購入品 #税関 #マスクパック,ただのオタク ミーナ🧸,2025-08-16,449576,0,0,13.016062419669446
292,韓国旅行,【旅行】うちらの韓国3日間が楽しみすぎて幸せいっぱい,一生友子,2025-06-03,446285,4215,174,13.00871528109106
293,韓国旅行,【韓国旅行】明洞でおすすめの韓国グルメランキングベスト20紹介します | 韓国グルメ,にいけい【ここだけの韓国グルメ】,2024-10-19,441460,4981,69,12.997844959903528
294,ソウル観光,【韓国旅行】明洞でおすすめの韓国グルメランキングベスト20紹介します | 韓国グルメ,にいけい【ここだけの韓国グルメ】,2024-10-19,441460,4981,69,12.997844959903528
295,ソウル観光,【韓国旅行】明洞でおすすめの韓国グルメランキングベスト20紹介します | 韓国グルメ,にいけい【ここだけの韓国グルメ】,2024-10-19,441460,4981,69,12.997844959903528
